geographiesByLevel_2_fullName,Archetype,median_price,median_price_per_sqm,avg_price_per_sqm,listings_sample_size
Kilkis Prefecture (Macedonia),"Archetype 2 (2 Bed, 56-95sqm)",400.0,5.19,5.19,3
Kilkis Prefecture (Macedonia),"Archetype 3 (3+ Bed, >95sqm)",630.0,4.92,5.953333333333333,9
Kozani Prefecture (Macedonia),"Archetype 1 (1 Bed, <=55sqm)",300.0,8.57,8.605789473684212,57
Kozani Prefecture (Macedonia),"Archetype 2 (2 Bed, 56-95sqm)",450.0,5.88,5.9,9
Kozani Prefecture (Macedonia),"Archetype 3 (3+ Bed, >95sqm)",400.0,3.005,3.0925,12
Lakonia (Peloponnisos),"Archetype 1 (1 Bed, <=55sqm)",350.0,8.75,9.194285714285714,21
Lakonia (Peloponnisos),"Archetype 2 (2 Bed, 56-95sqm)",500.0,6.41,7.257142857142857,21
Lakonia (Peloponnisos),"Archetype 3 (3+ Bed, >95sqm)",1500.0,13.64,49.752,15
Lefkada Prefecture (Ionian Islands),"Archetype 1 (1 Bed, <=55sqm)",610.0,13.739999999999998,13.296428571428573,42
Lefkada Prefecture (Ionian Islands),"Archetype 2 (2 Bed, 56-95sqm)",800.0,10.0,12.735714285714286,21
Lefkada Prefecture (Ionian Islands),"Archetype 3 (3+ Bed, >95sqm)",950.0,9.13,13.088,15
Magnesia (Thessalia),"Archetype 1 (1 Bed, <=55sqm)",450.0,10.675,11.014999999999999,54
Magnesia (Thessalia),"Archetype 2 (2 Bed, 56-95sqm)",490.0,7.54,7.86,21
Magnesia (Thessalia),"Archetype 3 (3+ Bed, >95sqm)",1300.0,11.3,11.300000000000002,3
Messinia (Peloponnisos),"Archetype 1 (1 Bed, <=55sqm)",430.0,11.2,11.334444444444443,27
Messinia (Peloponnisos),"Archetype 2 (2 Bed, 56-95sqm)",700.0,7.92,8.3375,24
Messinia (Peloponnisos),"Archetype 3 (3+ Bed, >95sqm)",1000.0,6.51,7.302499999999999,24
Pella (Macedonia),"Archetype 1 (1 Bed, <=55sqm)",300.0,7.2,7.728888888888889,27
Pella (Macedonia),"Archetype 2 (2 Bed, 56-95sqm)",370.0,4.67,4.799090909090909,33
Pella (Macedonia),"Archetype 3 (3+ Bed, >95sqm)",600.0,3.875,3.8433333333333337,18
Phthiotis (Sterea Ellada),"Archetype 1 (1 Bed, <=55sqm)",350.0,7.42,7.291875,48
Phthiotis (Sterea Ellada),"Archetype 2 (2 Bed, 56-95sqm)",450.0,5.63,6.224,15
Phthiotis (Sterea Ellada),"Archetype 3 (3+ Bed, >95sqm)",7500.0,25.86,25.86,3
Piraeus (Attica),"Archetype 1 (1 Bed, <=55sqm)",500.0,12.985,14.399,30
Piraeus (Attica),"Archetype 2 (2 Bed, 56-95sqm)",840.0,12.655000000000001,12.21857142857143,42
Piraeus (Attica),"Archetype 3 (3+ Bed, >95sqm)",1200.0,10.91,10.910000000000002,3
Piraeus suburbs (Attica),"Archetype 1 (1 Bed, <=55sqm)",615.0,13.25,13.523333333333333,18
Piraeus suburbs (Attica),"Archetype 2 (2 Bed, 56-95sqm)",750.0,9.87,9.76153846153846,39
Piraeus suburbs (Attica),"Archetype 3 (3+ Bed, >95sqm)",1650.0,13.75,12.64,9
Preveza Prefecture (Ipiros),"Archetype 1 (1 Bed, <=55sqm)",400.0,9.0,7.424615384615385,39
Preveza Prefecture (Ipiros),"Archetype 2 (2 Bed, 56-95sqm)",550.0,7.455,5.71,18
Preveza Prefecture (Ipiros),"Archetype 3 (3+ Bed, >95sqm)",585.0,4.029999999999999,3.7624999999999997,24
Rest of Attica (Attica),"Archetype 1 (1 Bed, <=55sqm)",490.0,9.42,9.42,3
Rest of Attica (Attica),"Archetype 2 (2 Bed, 56-95sqm)",850.0,11.33,11.274000000000001,15
Rest of Attica (Attica),"Archetype 3 (3+ Bed, >95sqm)",2600.0,10.0,13.75235294117647,51
Rethymno Prefecture (Crete),"Archetype 1 (1 Bed, <=55sqm)",515.0,11.705,12.43125,24
Rethymno Prefecture (Crete),"Archetype 2 (2 Bed, 56-95sqm)",1000.0,11.98,13.716666666666667,18
Rethymno Prefecture (Crete),"Archetype 3 (3+ Bed, >95sqm)",1500.0,8.81,9.43,27
Serres Prefecture (Macedonia),"Archetype 1 (1 Bed, <=55sqm)",300.0,7.45,7.408888888888889,54
Serres Prefecture (Macedonia),"Archetype 2 (2 Bed, 56-95sqm)",375.0,4.8,4.8,6
Serres Prefecture (Macedonia),"Archetype 3 (3+ Bed, >95sqm)",450.0,4.5,4.5,3
Thesprotia (Ipiros),"Archetype 1 (1 Bed, <=55sqm)",360.0,8.57,9.68,15
Thesprotia (Ipiros),"Archetype 2 (2 Bed, 56-95sqm)",400.0,5.33,5.728,15
Thesprotia (Ipiros),"Archetype 3 (3+ Bed, >95sqm)",550.0,3.89,6.513999999999999,15
Thessaloniki - Municipality (Thessaloniki),"Archetype 1 (1 Bed, <=55sqm)",450.0,11.35,12.35,45
Thessaloniki - Municipality (Thessaloniki),"Archetype 2 (2 Bed, 56-95sqm)",650.0,8.27,9.3125,12
Thessaloniki - Municipality (Thessaloniki),"Archetype 3 (3+ Bed, >95sqm)",750.0,7.205,7.205000000000001,6
Trikala Prefecture (Thessalia),"Archetype 1 (1 Bed, <=55sqm)",400.0,9.075,9.4475,32
Trikala Prefecture (Thessalia),"Archetype 2 (2 Bed, 56-95sqm)",550.0,8.46,7.43,6
Trikala Prefecture (Thessalia),"Archetype 3 (3+ Bed, >95sqm)",900.0,7.38,6.326666666666667,6
Xanthi Prefecture (Thraki),"Archetype 1 (1 Bed, <=55sqm)",360.0,8.0,8.832380952380952,63
Xanthi Prefecture (Thraki),"Archetype 2 (2 Bed, 56-95sqm)",480.0,8.0,7.559999999999999,9
Xanthi Prefecture (Thraki),"Archetype 3 (3+ Bed, >95sqm)",600.0,5.0,5.0,3
