dept_code,name,field,nuts3,region,vac_2025,base_2025,ebe_coefficient,tourism_per_capita,gdp_per_capita,is_metro,base_2019
165,ΚΟΙΝΩΝΙΚΗΣ ΑΝΘΡΩΠΟΛΟΓΙΑΣ (ΑΘΗΝΑ),1ο,EL303,Kentrikos Tomeas Athinon,0.0,12300.0,0.8,7.859,38500,True,13937.0
1520,ΦΥΣΙΚΟΘΕΡΑΠΕΙΑΣ (ΣΠΑΡΤΗ),3ο,EL653,"Lakonia, Messinia",0.0,13450.0,0.8,13.534,14700,False,13932.0
1652,ΚΟΙΝΩΝΙΚΗΣ ΕΡΓΑΣΙΑΣ (ΗΡΑΚΛΕΙΟ),1ο,EL431,Irakleio,0.0,13500.0,1.0,47.821,15800,False,13920.0
1614,ΜΑΙΕΥΤΙΚΗΣ (ΘΕΣΣΑΛΟΝΙΚΗ),3ο,EL522,Thessaloniki,0.8556701030927835,13241.0,1.1,3.616,16900,True,13890.0
315,ΟΙΚΟΝΟΜΙΚΗΣ ΕΠΙΣΤΗΜΗΣ (ΠΕΙΡΑΙΑΣ),4ο,EL307,"Peiraias, Nisoi",0.0,15100.0,1.2,3.126,22300,True,13843.0
130,ΠΑΙΔΑΓΩΓΙΚΟ ΔΗΜΟΤΙΚΗΣ ΕΚΠΑΙΔΕΥΣΗΣ (ΙΩΑΝΝΙΝΑ),4ο,EL543,Ioannina,0.0,14575.0,1.0,6.116,13000,False,13812.0
150,ΔΙΕΘΝΩΝ ΚΑΙ ΕΥΡΩΠΑΪΚΩΝ ΟΙΚΟΝΟΜΙΚΩΝ ΣΠΟΥΔΩΝ (ΑΘΗΝΑ),4ο,EL303,Kentrikos Tomeas Athinon,0.0,15150.0,1.2,7.859,38500,True,13804.0
1245,ΛΟΓΟΘΕΡΑΠΕΙΑΣ (ΙΩΑΝΝΙΝΑ),3ο,EL543,Ioannina,0.1694915254237288,12695.0,1.05,6.116,13000,False,13788.0
1564,ΗΛΕΚΤΡΟΛΟΓΩΝ ΜΗΧΑΝΙΚΩΝ ΚΑΙ ΜΗΧΑΝΙΚΩΝ ΥΠΟΛΟΓΙΣΤΩΝ (ΚΟΖΑΝΗ),2ο,EL531,"Grevena, Kozani",0.0,13290.0,1.0,0.98,15900,False,13730.0
192,ΡΩΣΙΚΗΣ ΓΛΩΣΣΑΣ ΚΑΙ ΦΙΛΟΛΟΓΙΑΣ ΚΑΙ ΣΛΑΒΙΚΩΝ ΣΠΟΥΔΩΝ (ΑΘΗΝΑ) - ΡΩΣΙΚΗΣ ΓΛΩΣΣΑΣ ΚΑΙ ΦΙΛΟΛΟΓΙΑΣ,1ο,EL303,Kentrikos Tomeas Athinon,0.0,10225.0,0.8,7.859,38500,True,13691.0
1618,ΝΟΣΗΛΕΥΤΙΚΗΣ (ΘΕΣΣΑΛΟΝΙΚΗ),3ο,EL522,Thessaloniki,0.0,12790.0,1.0,3.616,16900,True,13679.0
390,ΜΗΧΑΝΙΚΩΝ ΠΛΗΡΟΦΟΡΙΚΗΣ ΚΑΙ ΥΠΟΛΟΓΙΣΤΩΝ (ΑΙΓΑΛΕΩ),4ο,EL302,Dytikos Tomeas Athinon,0.0,15336.0,1.2,0.066,13900,True,13678.0
168,ΘΕΑΤΡΟΥ (ΘΕΣΣΑΛΟΝΙΚΗ),4ο,EL522,Thessaloniki,0.0,11425.0,0.8,3.616,16900,True,13635.0
406,ΜΟΥΣΙΚΩΝ ΣΠΟΥΔΩΝ (ΘΕΣΣΑΛΟΝΙΚΗ),1ο,EL522,Thessaloniki,0.0,14590.0,0.8,3.616,16900,True,13578.0
322,ΟΡΓΑΝΩΣΗΣ ΚΑΙ ΔΙΟΙΚΗΣΗΣ ΕΠΙΧΕΙΡΗΣΕΩΝ (ΘΕΣΣΑΛΟΝΙΚΗ),4ο,EL522,Thessaloniki,0.0,15532.0,1.2,3.616,16900,True,13558.0
205,ΠΟΛΙΤΙΚΩΝ ΜΗΧΑΝΙΚΩΝ - ΠΑΝ. ΠΑΤΡΩΝ (ΠΑΤΡΑ),2ο,EL632,Achaia,0.14556962025316456,14545.0,1.2,3.13,15400,False,13460.0
1426,ΔΙΑΙΤΟΛΟΓΙΑΣ ΚΑΙ ΔΙΑΤΡΟΦΟΛΟΓΙΑΣ (ΤΡΙΚΑΛΑ),3ο,EL611,"Karditsa, Trikala",0.16326530612244897,12130.0,1.0,3.385,12700,False,13383.0
673,ΑΓΩΓΗΣ ΚΑΙ ΦΡΟΝΤΙΔΑΣ ΣΤΗΝ ΠΡΩΙΜΗ ΠΑΙΔΙΚΗ ΗΛΙΚΙΑ (ΑΙΓΑΛΕΩ),4ο,EL302,Dytikos Tomeas Athinon,0.0,13120.0,0.8,0.066,13900,True,13372.0
1007,ΠΑΙΔΑΓΩΓΙΚΟ ΔΕΥΤΕΡΟΒΑΘΜΙΑΣ ΕΚΠΑΙΔΕΥΣΗΣ (ΑΘΗΝΑ),1ο,EL303,Kentrikos Tomeas Athinon,0.0,11495.0,0.8,7.859,38500,True,13339.0
329,ΣΤΑΤΙΣΤΙΚΗΣ (ΑΘΗΝΑ),4ο,EL303,Kentrikos Tomeas Athinon,0.0,14440.0,1.2,7.859,38500,True,13337.0
120,ΦΙΛΟΣΟΦΙΑΣ ΚΑΙ ΠΑΙΔΑΓΩΓΙΚΗΣ (ΘΕΣΣΑΛΟΝΙΚΗ),1ο,EL522,Thessaloniki,0.0,11580.0,0.8,3.616,16900,True,13333.0
1005,ΔΙΟΙΚΗΣΗΣ ΕΠΙΧΕΙΡΗΣΕΩΝ ΚΑΙ ΟΡΓΑΝΙΣΜΩΝ (ΑΘΗΝΑ),4ο,EL303,Kentrikos Tomeas Athinon,0.0,16220.0,1.2,7.859,38500,True,13313.0
159,ΚΟΙΝΩΝΙΚΗΣ ΠΟΛΙΤΙΚΗΣ (ΑΘΗΝΑ),4ο,EL303,Kentrikos Tomeas Athinon,0.0,12430.0,0.8,7.859,38500,True,13261.0
1515,ΛΟΓΟΘΕΡΑΠΕΙΑΣ (ΚΑΛΑΜΑΤΑ),3ο,EL653,"Lakonia, Messinia",0.0,12440.0,0.9,13.534,14700,False,13254.0
